compound_name,SMILES,inchikey,ESI_mode,logRF_original,isotope_correction,organic_modifier,organic_pc,vendor,instrument_model,mass_analyzer,ESI_source,eluent_composition,publication,doi,viscosity,surface_tension,polarity_index,pH.aq.,NH4,logP,apKa1,apKa2,bpKa1,bpKa2
"17-Methyl-5-androstane-3b,17b-diol",C[C@@]1(O)CCC2C3CC[C@@H]4C[C@@H](O)CCC4(C)C3CCC21C,QGKQXZFZOIQFBI-RZEMGSGWSA-N,negative,0.315954356,124.8003554,MeOH,100,Shimadzu,LCMS 2020,Q,ESI,100% MeOH,Alymatiri,10.1039/c5ay02839f,0.5091461,22.12,5.1,7,0,3.48,18.3,NA,-0.47,-1.42
Androstane,C[C@@]12CCC[C@H]1[C@@H]3CCC4CCCC[C@]4(C)[C@H]3CC2,QZLYKIGBANMMBK-FZFXZXLVSA-N,negative,0.181134927,123.0408839,MeOH,100,Shimadzu,LCMS 2020,Q,ESI,100% MeOH,Alymatiri,10.1039/c5ay02839f,0.5091461,22.12,5.1,7,0,5.82,NA,NA,NA,NA
Formebolone,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C(=C[C@]4(C)[C@H]3[C@H](O)C[C@]12C)C=O,AMVODTGMYSRMNP-GNIMZFFESA-N,negative,0.885537081,126.820989,MeOH,100,Shimadzu,LCMS 2020,Q,ESI,100% MeOH,Alymatiri,10.1039/c5ay02839f,0.5091461,22.12,5.1,7,0,1.76,14.39,15.06,-2.85,-2.99
Prednisolone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,OIGNJSKKLXVSLS-VWUMJDOOSA-N,negative,1.247138255,127.111256,MeOH,100,Shimadzu,LCMS 2020,Q,ESI,100% MeOH,Alymatiri,10.1039/c5ay02839f,0.5091461,22.12,5.1,7,0,1.27,12.59,13.87,-2.85,-3.33
Prednisone,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,XOFYZVNMUHMLCC-ZPOLXVRWSA-N,negative,1.428275424,127.0882534,MeOH,100,Shimadzu,LCMS 2020,Q,ESI,100% MeOH,Alymatiri,10.1039/c5ay02839f,0.5091461,22.12,5.1,7,0,1.66,12.58,13.91,-3.33,-3.85
Stanolone,C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,NVKAWKQGWWIWPM-ABEVXSGRSA-N,negative,-0.013220384,123.42888,MeOH,100,Shimadzu,LCMS 2020,Q,ESI,100% MeOH,Alymatiri,10.1039/c5ay02839f,0.5091461,22.12,5.1,7,0,3.41,19.38,NA,-0.88,-7.35
Ethinylestradiol,C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CC=C34)[C@@H]1CC[C@@]2(O)C#C,BFPYWIDHMRZLRN-SLHNCBLASA-N,negative,0,124.6853421,MeOH,100,Shimadzu,LCMS 2020,Q,ESI,100% MeOH,Alymatiri,10.1039/c5ay02839f,0.5091461,22.12,5.1,7,0,3.9,10.33,17.59,-1.66,-5.45
Estrone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CC=C34)[C@@H]1CCC2=O,DNXHEGUUPJUMQT-CBZIJGRNSA-N,negative,0.047625063,122.0253747,MeOH,100,Shimadzu,LCMS 2020,Q,ESI,100% MeOH,Alymatiri,10.1039/c5ay02839f,0.5091461,22.12,5.1,7,0,4.31,10.33,NA,-5.45,-7.48
Dehydroiso androsterone,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C,FMGSKLZLMKYGDP-USOAJAOKSA-N,negative,-0.141271121,123.4058773,MeOH,100,Shimadzu,LCMS 2020,Q,ESI,100% MeOH,Alymatiri,10.1039/c5ay02839f,0.5091461,22.12,5.1,7,0,3.36,18.2,NA,-1.4,-7.48
Hydrocortisone,C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)C[C@H](O)[C@H]23,JYGXADMDTFJGBT-VWUMJDOOSA-N,negative,1.241957116,127.1342587,MeOH,100,Shimadzu,LCMS 2020,Q,ESI,100% MeOH,Alymatiri,10.1039/c5ay02839f,0.5091461,22.12,5.1,7,0,1.28,12.59,13.87,-2.85,-3.33
Fluorometholone,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)[C@@]4(C)C=CC(=O)C=C14,FAOZLTXFLGPHNG-KNAQIMQKSA-N,negative,1.500608681,128.1951813,MeOH,100,Shimadzu,LCMS 2020,Q,ESI,100% MeOH,Alymatiri,10.1039/c5ay02839f,0.5091461,22.12,5.1,7,0,2.42,12.65,13.69,-3.39,-3.81
Digitoxin,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]3[C@@H](O)C[C@@H](O[C@@H]3C)O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]7(C)[C@@H](CC[C@]67O)C8=CC(=O)OC8)C4,WDJUZGPOPHTGOT-ADSZZZNASA-N,negative,1.067673499,161.3138601,MeOH,100,Shimadzu,LCMS 2020,Q,ESI,100% MeOH,Alymatiri,10.1039/c5ay02839f,0.5091461,22.12,5.1,7,0,3.6,7.18,13.03,0.24,-3.25
Hydroxy progesterone,CC(=O)C1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O,DBPWSSGDRRHUNT-UHFFFAOYSA-N,negative,0.963523599,126.5537246,MeOH,100,Shimadzu,LCMS 2020,Q,ESI,100% MeOH,Alymatiri,10.1039/c5ay02839f,0.5091461,22.12,5.1,7,0,3.4,12.7,18.19,-3.8,-4.82
Clostebol acetate,CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=C(Cl)C(=O)CC[C@]4(C)[C@H]3CC[C@]12C,XYGMEFJSKQEBTO-KUJXMBTLSA-N,negative,0.216935965,166.8951827,MeOH,100,Shimadzu,LCMS 2020,Q,ESI,100% MeOH,Alymatiri,10.1039/c5ay02839f,0.5091461,22.12,5.1,7,0,4.2,NA,NA,-6.24,-7.09
Fludrocortisone acetate,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,SYWHXTATXSMDSB-GSLJADNHSA-N,negative,1.318810664,130.1846545,MeOH,100,Shimadzu,LCMS 2020,Q,ESI,100% MeOH,Alymatiri,10.1039/c5ay02839f,0.5091461,22.12,5.1,7,0,1.76,12.58,13.69,-3.39,-3.84
Hydrocortisone acetate,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,ALEXXDVDDISNDU-JZYPGELDSA-N,negative,1.204975609,130.1961558,MeOH,100,Shimadzu,LCMS 2020,Q,ESI,100% MeOH,Alymatiri,10.1039/c5ay02839f,0.5091461,22.12,5.1,7,0,1.72,12.61,14.88,-2.85,-3.84
Cortisone acetate,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,ITRJWOMZKQRYTA-RFZYENFJSA-N,negative,1.447139228,130.1731532,MeOH,100,Shimadzu,LCMS 2020,Q,ESI,100% MeOH,Alymatiri,10.1039/c5ay02839f,0.5091461,22.12,5.1,7,0,2.1,12.6,16.24,-3.85,-4.87
