Compound,SMILES,Calibrant Number,Time of injection,Stock Conc. (mg/g),Mass Stock (g),Calibrant Mass (mg),Stock IS Conc. (mg/g),Mass Stock IS (g),IS Mass (mg),Peak Area Calibrant,Peak Area IS,Relative Response Factor,MW,ret_time
Gallic acid,OC(=O)c1cc(O)c(O)c(O)c1,A,9/9/2009 11:59,0.00789,4.856,0.03834,0.64283,5.2507,3.3753,7.65E+04,6.90E+07,10.2491,170.12,5
Gallic acid,OC(=O)c1cc(O)c(O)c(O)c1,A,9/10/2009 9:44,0.00789,4.856,0.03834,0.64283,5.2507,3.3753,7.34E+04,6.09E+07,9.4302,170.12,5
Gallic acid,OC(=O)c1cc(O)c(O)c(O)c1,A,9/11/2009 8:47,0.00789,4.856,0.03834,0.64283,5.2507,3.3753,7.21E+04,5.93E+07,9.3393,170.12,5
Gallic acid,OC(=O)c1cc(O)c(O)c(O)c1,B,9/9/2009 22:14,0.07019,4.9102,0.34464,0.64283,5.0473,3.2446,6.61E+05,6.55E+07,10.5253,170.12,5
Gallic acid,OC(=O)c1cc(O)c(O)c(O)c1,B,9/10/2009 21:16,0.07019,4.9102,0.34464,0.64283,5.0473,3.2446,6.39E+05,6.18E+07,10.2743,170.12,5
Gallic acid,OC(=O)c1cc(O)c(O)c(O)c1,B,9/11/2009 20:19,0.07019,4.9102,0.34464,0.64283,5.0473,3.2446,5.39E+05,5.18E+07,10.2094,170.12,5
Gallic acid,OC(=O)c1cc(O)c(O)c(O)c1,C,9/9/2009 14:33,0.11071,5.2903,0.5857,0.64283,4.9642,3.1911,1.05E+06,6.72E+07,11.7566,170.12,5
Gallic acid,OC(=O)c1cc(O)c(O)c(O)c1,C,9/10/2009 12:18,0.11071,5.2903,0.5857,0.64283,4.9642,3.1911,9.95E+05,6.18E+07,11.3955,170.12,5
Gallic acid,OC(=O)c1cc(O)c(O)c(O)c1,C,9/11/2009 11:21,0.11071,5.2903,0.5857,0.64283,4.9642,3.1911,8.60E+05,5.22E+07,11.1552,170.12,5
Gallic acid,OC(=O)c1cc(O)c(O)c(O)c1,D,9/10/2009 0:47,0.17016,4.9611,0.8442,0.64283,5.0419,3.2411,1.39E+06,6.44E+07,12.0653,170.12,5
Gallic acid,OC(=O)c1cc(O)c(O)c(O)c1,D,9/10/2009 23:49,0.17016,4.9611,0.8442,0.64283,5.0419,3.2411,1.31E+06,6.15E+07,12.2177,170.12,5
Gallic acid,OC(=O)c1cc(O)c(O)c(O)c1,D,9/11/2009 22:52,0.17016,4.9611,0.8442,0.64283,5.0419,3.2411,1.13E+06,5.18E+07,11.9447,170.12,5
Gallocatechin,O[C@H]1Cc2c(O)cc(O)cc2O[C@@H]1c3cc(O)c(O)c(O)c3,A,9/9/2009 11:59,0.02368,4.856,0.11499,0.64283,5.2507,3.3753,6.02E+05,6.90E+07,3.9041,306.267,9.5
Gallocatechin,O[C@H]1Cc2c(O)cc(O)cc2O[C@@H]1c3cc(O)c(O)c(O)c3,A,9/10/2009 9:44,0.02368,4.856,0.11499,0.64283,5.2507,3.3753,5.57E+05,6.09E+07,3.7251,306.267,9.5
