compound_name,SMILES,RRF
L-Alanine,C[C@H](N)C(O)=O,0.000595
?-Alanine,NCCC(O)=O,0.000503
?-Aminobutyric acid,NCCCC(O)=O,0.000903
Histamine,NCCc1c[nH]cn1,0.00111
Creatinine,CN1CC(=O)N=C1N,0.00229
L-Valine,CC(C)[C@H](N)C(O)=O,0.00188
L-Threonine,C[C@@H](O)[C@H](N)C(O)=O,0.00264
Nicotinamide,NC(=O)c1cccnc1,0.00322
Nicotinic acid,OC(=O)c1cccnc1,0.0025
L-Leucine,CC(C)C[C@H](N)C(O)=O,0.0161
L-Isoleucine,CC[C@H](C)[C@H](N)C(O)=O,0.0157
L-Asparagine,N[C@@H](CC(N)=O)C(O)=O,0.00406
L-Aspartic acid,N[C@@H](CC(O)=O)C(O)=O,0.00287
Adenine,Nc1ncnc2nc[nH]c12,0.00766
L-Homocysteine,N[C@@H](CCS)C(O)=O,0.00168
p-Benzoic acid,O=C(O)c1ccc(N)cc1,0.00718
Tyramine,NCCc1ccc(O)cc1,0.0127
L-Glutamine,N[C@@H](CCC(N)=O)C(O)=O,0.00703
L-Lysine,NCCCC[C@H](N)C(O)=O,0.0119
L-Glutamic acid,N[C@@H](CCC(O)=O)C(O)=O,0.00749
L-Methionine,CSCC[C@H](N)C(O)=O,0.00832
Guanine,NC1=Nc2nc[nH]c2C(=O)N1,0.00112
Dopamine,NCCc1ccc(O)c(O)c1,0.00781
L-Histidine,N[C@@H](Cc1c[nH]cn1)C(O)=O,0.014
D-Ala-D-Ala,CC(N)C(=O)NC(C)C(O)=O,1
Tryptamine,NCCc1c[nH]c2ccccc12,0.0293
L-Carnitine,C[N+](C)(C)C[C@H](O)CC([O-])=O,0.0282
L-Phenylalanine,N[C@@H](Cc1ccccc1)C(O)=O,0.0298
L-Arginine,N[C@@H](CCCNC(N)=N)C(O)=O,0.0238
Serotonin,NCCc1c[nH]c2ccc(O)cc12,0.0124
L-Methionine sulfone,C[S](=O)(=O)CCC(N)C(O)=O,0.0156
m-L-Tyrosine,Oc1ccccc1CC(N)C(=O)O,0.0226
o-L-Tyrosine,Oc1cc(CC(N)C(=O)O)ccc1,0.0225
p-L-Tyrosine,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,0.0168
L-DOPA,N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O,0.0198
O-Acetyl-L-Carnitine,CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,0.0558
L-Tryptophan,N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O,0.0355
3-Chloro-L-Tyrosine,N[C@@H](Cc1ccc(O)c(Cl)c1)C(O)=O,0.0318
5-Hydroxy-L-Tryptophan,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(O)=O,0.0246
Cystathionine,N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O,0.0179
3-Nitro-L-Tyrosine,N[C@@H](Cc1ccc(O)c(c1)[N+]([O-])=O)C(O)=O,0.0298
Atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.0888
Adenosine,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,0.0294
Metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1,0.363
Guanosine,NC1=Nc2n(cnc2C(=O)N1)[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O,0.0282
Oxidized Glutathione,NC(CCC(=O)NC(CSSCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O,0.0169
Quinine,COc1ccc2nccc([C@@H](O)[C@@H]3C[C@H]4CCN3C[C@@H]4C=C)c2c1,0.0438
Oxytetracycline,CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(\N)O)C1=O,0.00297
