logP,apKa1,apKa2,bpKa1,bpKa2,SMILES
3.48,18.3,NA,-0.47,-1.42,C[C@@]1(O)CCC2C3CC[C@@H]4C[C@@H](O)CCC4(C)C3CCC21C
5.82,NA,NA,NA,NA,C[C@@]12CCC[C@H]1[C@@H]3CCC4CCCC[C@]4(C)[C@H]3CC2
1.76,14.39,15.06,-2.85,-2.99,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C(=C[C@]4(C)[C@H]3[C@H](O)C[C@]12C)C=O
1.27,12.59,13.87,-2.85,-3.33,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO
1.66,12.58,13.91,-3.33,-3.85,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO
3.41,19.38,NA,-0.88,-7.35,C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O
3.9,10.33,17.59,-1.66,-5.45,C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CC=C34)[C@@H]1CC[C@@]2(O)C#C
4.31,10.33,NA,-5.45,-7.48,C[C@]12CC[C@H]3[C@@H](CCC4=CC(O)=CC=C34)[C@@H]1CCC2=O
3.36,18.2,NA,-1.4,-7.48,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C
1.28,12.59,13.87,-2.85,-3.33,C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)C[C@H](O)[C@H]23
2.42,12.65,13.69,-3.39,-3.81,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)[C@@]4(C)C=CC(=O)C=C14
3.6,7.18,13.03,0.24,-3.25,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]3[C@@H](O)C[C@@H](O[C@@H]3C)O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]7(C)[C@@H](CC[C@]67O)C8=CC(=O)OC8)C4
3.4,12.7,18.19,-3.8,-4.82,CC(=O)C1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O
4.2,NA,NA,-6.24,-7.09,CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=C(Cl)C(=O)CC[C@]4(C)[C@H]3CC[C@]12C
1.76,12.58,13.69,-3.39,-3.84,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C
1.72,12.61,14.88,-2.85,-3.84,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
2.1,12.6,16.24,-3.85,-4.87,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C
3.64,17.89,NA,-4.88,-6.09,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]45CCC(=O)O5)[C@H]13
2.3,12.22,13.27,0.3,-3.61,CC1OC(O[C@H]2CC[C@]3(C)[C@H]4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CCC3=C2)C6=COC(=O)C=C6)C(O)C(O)C1O
4.43,13.85,15.58,-3.3,-5.29,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]12C
3.71,13.41,14.02,-3.33,-3.39,CCCCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CO
3.77,18.3,NA,-1.36,-7.48,C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@@]4(C)[C@H]3CCC4=O
3.81,18.52,NA,-4.81,-7.01,CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
3.52,17.59,18.52,-1.66,-4.82,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C
3.65,18.52,NA,-0.53,-4.82,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
4.13,17.73,18.53,-4.9,-6.99,C[C@H]1C[C@@H]2[C@H](CC[C@@]3(C)[C@H]2CC[C@]3(OC(C)=O)C(C)=O)[C@@]4(C)CCC(=O)C=C14
3.22,17.59,18.25,-1.66,-4.73,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
4.15,18.47,19.46,-4.82,-7.36,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
3.37,18.52,19.38,-0.88,-4.82,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O
4.51,18.52,NA,-4.81,-7.04,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
5.4,4.99,18.4,-1.31,NA,CCCCCC[C@@H](O)C/C=C\CCCCCCCC(O)=O
5.89,4.99,NA,NA,NA,CCCCCC/C=C\CCCCCCCC(O)=O
5.85,3.5,NA,2.09,-4.89,CC1=C(CSC2=CC(C)=C(OCC(O)=O)C=C2)SC(=N1)C3=CC=C(C(F)=C3)C(F)(F)F
1.77,13.9,18.25,NA,NA,NC(=S)NC1=CC=CC=C1
5.76,4.95,18.48,-1.27,NA,CCCCCCC(O)CCCCCCCCCCC(O)=O
3.4,12.7,18.19,-3.8,-4.82,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
3.46,9.8,10.44,-5.46,-5.49,OC1=CC=C(CC2=C(O)C=CC=C2)C=C1
3.59,3.72,7.32,3.09,-7.24,CCN(CC)C1=CC(O)=C(C=C1)C(=O)C2=C(C=CC=C2)C(O)=O
-1.39,-0.96,15.07,-0.19,NA,CC(C)(CS(O)(=O)=O)NC(=O)C=C
-2.38,12.05,NA,-1.72,-3.75,NC1=NN=C(O1)C2=CC=C(O2)[N]([O])=O
-1.52,9.61,NA,1.84,-6.09,NC1=C(O)C=C(C=C1)[N]([O])=O
-0.39,16.37,NA,4.26,-8.06,NC1=NC2=CC=C(C=C2S1)[N]([O])=O
1.11,12.56,NA,8.11,-5.98,NC1=NC2=CC=CC=C2N1
3.92,8.83,NA,-6.29,NA,OC1=CC(Cl)=C(C=C1)C2=CC=CC=C2
0.6,9.64,NA,1.58,NA,CC(C)C1=NC(=O)C=C(C)N1
2.89,7.46,NA,1.26,NA,SC1=NC2=C(S1)C=CC=C2
-2.54,5.98,NA,-7.46,-9.65,CC1=C(O)C(=CC(=C1)[N]([O])=O)[N]([O])=O
6.76,13.04,13.64,-3.67,-4.27,O=C(NC1=CC=CC=C1SSC2=C(NC(=O)C3=CC=CC=C3)C=CC=C2)C4=CC=CC=C4
3.52,6.75,7.38,-6.63,-6.63,OC1=CC(O)=C(C=C1)C(=O)C2=CC=C(O)C=C2O
6.46,6.27,6.88,-7.47,-7.47,CC(C)(C1=CC(Cl)=C(O)C(Cl)=C1)C2=CC(Cl)=C(O)C(Cl)=C2
0.37,0.41,4.04,5.53,NA,OC(=O)C1=C(N=C2C=CC=CC2=C1)C(O)=O
2.5,2.81,NA,-4.94,NA,OC(=O)COC1=C(Cl)C=C(Cl)C=C1
-3.06,5.59,NA,-7.48,-9.46,OC1=C(C=C(C=C1)[N]([O])=O)[N]([O])=O
3.17,7.01,7.87,-6.63,-6.92,OC1=CC=C(C=C1)C(=O)C2=CC=C(O)C=C2O
