compound_name,SMILES,signal
p-Nitroaniline,c1cc(ccc1N)N(=O)=O,6.90E+07
Benzamide,NC(=O)c1ccccc1,8.71E+07
Diphenylamine,N(c1ccccc1)c2ccccc2,4.69E+08
4-Methoxybenzamide,COc1ccc(cc1)C(N)=O,5.10E+08
Cytosine,NC1=NC(=O)NC=C1,7.25E+08
Adenine,Nc1ncnc2nc[nH]c12,1.20E+09
N-ethylaniline,CCNc1ccccc1,1.29E+09
2-Methoxyaniline,COc1ccccc1N,4.42E+09
4-Methoxyaniline,COc1ccc(N)cc1,4.96E+09
"2,2-Bipyridine",c1ccc(nc1)c2ccccn2,6.80E+09
Methyltriazinaminec,Cc1cnnnc1N,7.01E+09
Benzylamine,NCc1ccccc1,7.97E+09
Triethanolamine,OCCN(CCO)CCO,1.03E+10
Triethylamine,CCN(CC)CC,1.17E+10
N-methylbenzylamine,CNCc1ccccc1,1.35E+10
Quinuclidine,C1CN2CCC1CC2,1.37E+10
"N,N-dimethylbenzylamine",CN(C)Cc1ccccc1,1.56E+10
Phenylethylamine,NCCc1ccccc1,2.17E+10
