compound_name,SMILES,CAS,M [g/mol],experiment,Peak area,solv,Flow,Vendor,Mass Analyzer
2-aminoaniline,Nc1ccccc1N,95-54-5,108,API_50_pH3,0.651866145,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
2-aminobenzoic acid,Nc1ccccc1C(O)=O,118-92-3,137,API_50_pH3,0.749828702,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
2-aminopyridine,Nc1ccccn1,504-29-0,94,API_50_pH3,0.789212229,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
2-Cyanoaniline (2-aminobenzonitrile),Nc1ccccc1C#N,1885-29-6 ,118,API_50_pH3,0.422920739,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
2-fluoroaniline,Nc1ccccc1F,348-54-9,111,API_50_pH3,0.075965317,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
2-hydroxyaniline (2-aminophenol),Nc1ccccc1O,95-55-6,109,API_50_pH3,0.433793152,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
2-methoxyaniline,COc1ccccc1N,90-04-0,123,API_50_pH3,0.825419177,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
2-methylaniline,Cc1ccccc1N,95-53-4,107,API_50_pH3,0.878104129,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
2-nitroaniline,Nc1ccccc1[N+]([O-])=O,88-74-4,138,API_50_pH3,0.08690499,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
3-aminoaniline,Nc1cccc(N)c1,108-45-2,108,API_50_pH3,0.509887447,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
3-aminobenzoic acid,Nc1cccc(c1)C(O)=O,99-05-8,137,API_50_pH3,0.685581709,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
3-aminopyridine,Nc1cccnc1,462-08-8,94,API_50_pH3,0.761489591,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
3-Cyanoaniline (3-aminobenzonitrile),Nc1cccc(c1)C#N,2237-30-1,118,API_50_pH3,0.638011124,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
3-fluoroaniline,Nc1cccc(F)c1,372-19-0,111,API_50_pH3,0.660829084,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
3-hydroxyaniline (3-aminophenol),Nc1cccc(O)c1,591-27-5,109,API_50_pH3,0.484008787,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
3-methoxyaniline,COc1cccc(N)c1,536-90-3,123,API_50_pH3,0.933309486,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
3-methylaniline,Cc1cccc(N)c1,108-44-1,107,API_50_pH3,0.883740608,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
3-nitroaniline,Nc1cccc(c1)[N+]([O-])=O,99-09-2,138,API_50_pH3,0.564012716,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
4-aminoaniline,Nc1ccc(N)cc1,106-50-3,108,API_50_pH3,0.276717519,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
4-aminobenzoic acid,Nc1ccc(cc1)C(O)=O,150-13-0,137,API_50_pH3,0.704061788,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
4-aminopyridine,Nc1ccncc1,504-24-5,94,API_50_pH3,0.857157252,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
4-chloroaniline (Summe beider Isotope),Nc1ccc(Cl)cc1,106-47-8,127,API_50_pH3,1,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
4-Cyanoaniline (4-aminobenzonitrile),Nc1ccc(cc1)C#N,873-74-5,118,API_50_pH3,0.37625199,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
4-fluoroaniline,Nc1ccc(F)cc1,371-40-4,111,API_50_pH3,0.805727414,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
4-hydroxyaniline (4-aminophenol),Nc1ccc(O)cc1,123-30-8,109,API_50_pH3,0.422245622,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
4-methoxyaniline,COc1ccc(N)cc1,104-94-9,123,API_50_pH3,0.857376413,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
4-methylaniline,Cc1ccc(N)cc1,106-49-0,107,API_50_pH3,0.917559484,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
4-nitroaniline,Nc1ccc(cc1)[N+]([O-])=O,100-01-6,138,API_50_pH3,0.246276778,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
Aniline,Nc1ccccc1,62-53-3,93,API_50_pH3,0.698132337,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
Pyridine,c1ccncc1,110-86-1,79,API_50_pH3,0.603464259,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
sulfanilic acid,Nc1ccc(cc1)[S](O)(=O)=O,121-57-3,173,API_50_pH3,0.023836178,"50%MeCN, pH = 3",20 uL/min,AB Sciex,API 2000 3Q
2-aminoaniline,Nc1ccccc1N,95-54-5,108,API_50_pH7,0.268800177,"50%MeCN, pH = 7",20 uL/min,AB Sciex,API 2000 3Q
2-aminobenzoic acid,Nc1ccccc1C(O)=O,118-92-3,137,API_50_pH7,0.415172851,"50%MeCN, pH = 7",20 uL/min,AB Sciex,API 2000 3Q
2-aminopyridine,Nc1ccccn1,504-29-0,94,API_50_pH7,0.605713684,"50%MeCN, pH = 7",20 uL/min,AB Sciex,API 2000 3Q
2-Cyanoaniline (2-aminobenzonitrile),Nc1ccccc1C#N,1885-29-6 ,118,API_50_pH7,0.120756925,"50%MeCN, pH = 7",20 uL/min,AB Sciex,API 2000 3Q
2-fluoroaniline,Nc1ccccc1F,348-54-9,111,API_50_pH7,0.014766295,"50%MeCN, pH = 7",20 uL/min,AB Sciex,API 2000 3Q
