organic_modifier_percentage,organic_modifier,additive,additive_concentration_mM,pH_aq,name,logIE,instrument,source,logIE_pred,error_abs,viscosity,surface_tension,polarity_index,pH.aq.,NH4,SPLIT,solvent,SMILES
20,MeCN,ammonia,41,10.5,benzoic acid,0.11,Agilent XCT,ESI,0.144939181,0.034939181,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1ccc(cc1)C(=O)O
20,MeCN,ammonia,41,10.5,"3,5-dinitrobenzoic acid",1.26,Agilent XCT,ESI,1.171373256,0.088626744,0.93,42.11062016,9.32,10.5,1,FALSE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1c(cc(cc1N(=O)=O)N(=O)=O)C(=O)O
20,MeCN,ammonia,41,10.5,3-trifluoromethylbenzoic acid,1.37,Agilent XCT,ESI,1.2748425,0.0951575,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1cc(cc(c1)C(F)(F)F)C(=O)O
20,MeCN,ammonia,41,10.5,pentafluorophenol,1.55,Agilent XCT,ESI,1.276771667,0.273228333,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1(c(c(c(c(c1F)F)O)F)F)F
20,MeCN,ammonia,41,10.5,4-tert-butylbenzoic acid,1.36,Agilent XCT,ESI,1.075420042,0.284579958,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",CC(C)(C)c1ccc(cc1)C(=O)O
20,MeCN,ammonia,41,10.5,"4-(pentafluorophenyl)-2,3,5,6-tetrafluorophenol",2.69,Agilent XCT,ESI,2.198109373,0.491890627,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1(c2c(c(c(c(c2F)F)O)F)F)c(c(c(c(c1F)F)F)F)F
20,MeCN,ammonia,41,10.5,pentakis(trifluoromethyl)phenol,2.6,Agilent XCT,ESI,2.543371688,0.056628312,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1(c(c(c(c(c1C(F)(F)F)C(F)(F)F)O)C(F)(F)F)C(F)(F)F)C(F)(F)F
20,MeCN,ammonia,41,10.5,4-phenylphenol,0.62,Agilent XCT,ESI,0.401621474,0.218378526,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1ccc(cc1)c1ccc(cc1)O
20,MeCN,ammonia,41,10.5,2-phenylphenol,0.45,Agilent XCT,ESI,0.318568333,0.131431667,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1ccc(cc1)c1ccccc1O
20,MeCN,ammonia,41,10.5,3-chlorobenzoic acid,0.77,Agilent XCT,ESI,0.453521782,0.316478218,0.93,42.11062016,9.32,10.5,1,FALSE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1cc(cc(c1)Cl)C(=O)O
20,MeCN,ammonia,41,10.5,4-aminobenzoic acid,0.08,Agilent XCT,ESI,-0.112185346,0.192185346,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1cc(ccc1C(=O)O)N
20,MeCN,ammonia,41,10.5,4-hydroxybenzoic acid,0.37,Agilent XCT,ESI,0.186496086,0.183503914,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1cc(ccc1C(=O)O)O
20,MeCN,ammonia,41,10.5,3-aminobenzoic acid,0.21,Agilent XCT,ESI,-0.13204881,0.34204881,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1cc(cc(c1)N)C(=O)O
20,MeCN,ammonia,41,10.5,pentafluorobenzoic acid,0.95,Agilent XCT,ESI,0.927531667,0.022468333,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1(c(c(c(c(c1F)F)F)F)F)C(=O)O
20,MeCN,ammonia,41,10.5,"2,4-dinitrophenol",1.2,Agilent XCT,ESI,1.192289695,0.007710305,0.93,42.11062016,9.32,10.5,1,FALSE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1cc(c(cc1N(=O)=O)N(=O)=O)O
20,MeCN,ammonia,41,10.5,3-dimethylaminobenzoic acid,1.05,Agilent XCT,ESI,0.627198016,0.422801984,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",CN(C)c1cccc(c1)C(=O)O
20,MeCN,ammonia,41,10.5,4-isopropylbenzoic acid,0.67,Agilent XCT,ESI,0.196035657,0.473964343,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",CC(C)c1ccc(cc1)C(=O)O
20,MeCN,ammonia,41,10.5,2-tert-butylphenol,-0.09,Agilent XCT,ESI,-0.285354683,0.195354683,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",CC(C)(C)c1ccccc1O
20,MeCN,ammonia,41,10.5,"2,5-dinitrophenol",1.45,Agilent XCT,ESI,1.280959643,0.169040357,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1cc(c(cc1N(=O)=O)O)N(=O)=O
20,MeCN,ammonia,41,10.5,3-chlorophenol,0.36,Agilent XCT,ESI,0.114615008,0.245384992,0.93,42.11062016,9.32,10.5,1,FALSE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1cc(cc(c1)O)Cl
20,MeCN,ammonia,41,10.5,2-isopropylphenol,-0.17,Agilent XCT,ESI,-0.376520736,0.206520736,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",CC(C)c1ccccc1O
20,MeCN,ammonia,41,10.5,3-bromophenol,0.8,Agilent XCT,ESI,0.608041861,0.191958139,0.93,42.11062016,9.32,10.5,1,TRUE,"MeCN/NH3 20/80 c_overall = 41 mM, pH_aq = 10.5",c1cc(cc(c1)O)Br
