organic_modifier_percentage,organic_modifier,additive,additive_concentration_mM,pH_aq,name,logIE,instrument,source,in_model_190714,logIE_pred,error_abs,viscosity,surface_tension,polarity_index,pH.aq.,NH4,SPLIT,solvent,SMILES
0,MeCN,formic acid,0.1,3.7,tetraethylammonium,4.162507347,Agilent 3Q,JetStream,TRUE,4.160494445,0.002012902,0.884232851,71.76,10.2,3.67,0,TRUE,0.1 mM HCOOH,CC[N+](CC)(CC)CC
0,MeCN,formic acid,0.1,3.7,"N,N-dimethylaniline",1.935536116,Agilent 3Q,JetStream,TRUE,1.843526822,0.092009294,0.884232851,71.76,10.2,3.67,0,TRUE,0.1 mM HCOOH,CN(C)c1ccccc1
0,MeCN,formic acid,0.1,3.7,"4-methoxy-N,N-dimethylaniline",3.892163527,Agilent 3Q,JetStream,TRUE,3.079885745,0.812277782,0.884232851,71.76,10.2,3.67,0,FALSE,0.1 mM HCOOH,CN(C)c1ccc(cc1)OC
0,MeCN,formic acid,0.1,3.7,quinoline,2.821074052,Agilent 3Q,JetStream,TRUE,2.360268319,0.460805733,0.884232851,71.76,10.2,3.67,0,TRUE,0.1 mM HCOOH,c1ccc2c(c1)cccn2
0,MeCN,formic acid,0.1,3.7,"2,6-diaminopyridine",3.803751686,Agilent 3Q,JetStream,TRUE,3.842107073,0.038355387,0.884232851,71.76,10.2,3.67,0,TRUE,0.1 mM HCOOH,c1cc(=N)[nH]c(c1)N
0,MeCN,formic acid,0.1,3.7,4-aminobenzoic acid,3.118794243,Agilent 3Q,JetStream,TRUE,2.816968908,0.301825335,0.884232851,71.76,10.2,3.67,0,TRUE,0.1 mM HCOOH,c1cc(ccc1C(=O)O)N
0,MeCN,formic acid,0.1,3.7,1-naphthylamine,3.539432714,Agilent 3Q,JetStream,TRUE,2.890237424,0.64919529,0.884232851,71.76,10.2,3.67,0,FALSE,0.1 mM HCOOH,c1ccc2c(c1)cccc2N
0,MeCN,formic acid,0.1,3.7,trizma base,2.886234144,Agilent 3Q,JetStream,TRUE,2.697090367,0.189143777,0.884232851,71.76,10.2,3.67,0,TRUE,0.1 mM HCOOH,C(C(CO)(CO)N)O
0,MeCN,formic acid,0.1,3.7,2-aminophenol,3.652598309,Agilent 3Q,JetStream,TRUE,3.213749452,0.438848857,0.884232851,71.76,10.2,3.67,0,TRUE,0.1 mM HCOOH,c1ccc(c(c1)N)O
0,MeCN,formic acid,0.1,3.7,4-methoxyaniline,3.865194035,Agilent 3Q,JetStream,TRUE,3.182486479,0.682707556,0.884232851,71.76,10.2,3.67,0,TRUE,0.1 mM HCOOH,COc1ccc(cc1)N
0,MeCN,formic acid,0.1,3.7,8-aminoquinaldine,3.836690614,Agilent 3Q,JetStream,TRUE,3.39301428,0.443676334,0.884232851,71.76,10.2,3.67,0,TRUE,0.1 mM HCOOH,Cc1ccc2cccc(c2n1)N
0,MeCN,formic acid,27,2.7,tetraethylammonium,3.51,Agilent XCT,ESI,TRUE,3.659292537,0.149292537,0.884232851,71.76,10.2,2.7,0,FALSE,0.1% HCOOH,CC[N+](CC)(CC)CC
